,recording,channel_num,input_Vpp,gain_position,rms,dBrms,measured_vrms,measured_rel_maxrms,input_vrms
0,ff802_ch09_200mVpp_pos0-4_gain.wav,9,0.2,0,0.005196361041355914,-45.68601363842615,,0.007348764259672713,0.07071067811865475
1,ff802_ch09_200mVpp_pos0-4_gain.wav,9,0.2,1,0.006035962393168236,-44.38506949486201,,0.008536139878392482,0.07071067811865475
2,ff802_ch09_200mVpp_pos0-4_gain.wav,9,0.2,2,0.010184468565185083,-39.84123255905771,,0.014403013570447199,0.07071067811865475
3,ff802_ch09_200mVpp_pos0-4_gain.wav,9,0.2,3,0.031101338385586094,-30.144418431059417,,0.04398393455285079,0.07071067811865475
4,ff802_ch09_200mVpp_pos0-4_gain.wav,9,0.2,4,0.08126580114682526,-21.801843577152745,,0.1149271981389553,0.07071067811865475
5,ff802_ch09_200mVpp_pos4-8_gain.wav,9,0.2,4,0.0810867666305004,-21.821000338291135,,0.11467400509783578,0.07071067811865475
6,ff802_ch09_200mVpp_pos4-8_gain.wav,9,0.2,5,0.1416658496030509,-16.97469658946838,,0.2003457658337417,0.07071067811865475
7,ff802_ch09_200mVpp_pos4-8_gain.wav,9,0.2,6,0.22477592413465095,-12.965004162364046,,0.31788116040616926,0.07071067811865475
8,ff802_ch09_200mVpp_pos4-8_gain.wav,9,0.2,7,0.5666070638650339,-4.934360309037294,,0.8013033942543293,0.07071067811865475
9,ff802_ch09_500mVpp_pos0-4_gain.wav,9,0.5,0,0.013100755274855951,-37.6540733200955,,0.01852726578703215,0.17677669529663687
10,ff802_ch09_500mVpp_pos0-4_gain.wav,9,0.5,1,0.014966342986520626,-36.4976861237986,,0.021165605230664918,0.17677669529663687
11,ff802_ch09_500mVpp_pos0-4_gain.wav,9,0.5,2,0.027749585193862756,-31.13487008820477,,0.03924383973138834,0.17677669529663687
12,ff802_ch09_500mVpp_pos0-4_gain.wav,9,0.5,3,0.07627870298600022,-22.35193400282268,,0.1078743762830306,0.17677669529663687
13,ff802_ch09_500mVpp_pos0-4_gain.wav,9,0.5,4,0.1969641490366829,-14.11225631864125,,0.27854937086895254,0.17677669529663687
14,ff802_ch09_500mVpp_pos4-8_gain.wav,9,0.5,4,0.19792379110637753,-14.07003997992444,,0.27990650969893843,0.17677669529663687
15,ff802_ch09_500mVpp_pos4-8_gain.wav,9,0.5,5,0.3497726220028519,-9.124283747256417,,0.4946531857832312,0.17677669529663687
16,ff802_ch09_500mVpp_pos4-8_gain.wav,9,0.5,6,0.5547509260715474,-5.118039282147033,,0.7845362833894165,0.17677669529663687
17,ff802_ch09_1000mVpp_pos0-4_gain.wav,9,1.0,0,0.026276135078263187,-31.608770284240908,,0.03716006659442722,0.35355339059327373
18,ff802_ch09_1000mVpp_pos0-4_gain.wav,9,1.0,1,0.030341029641785002,-30.359393704896107,,0.042908695615776433,0.35355339059327373
19,ff802_ch09_1000mVpp_pos0-4_gain.wav,9,1.0,2,0.05832191453717302,-24.683364556873624,,0.08247964252203464,0.35355339059327373
20,ff802_ch09_1000mVpp_pos0-4_gain.wav,9,1.0,3,0.15649492777287402,-16.109994680043947,,0.22131724929899638,0.35355339059327373
21,ff802_ch09_1000mVpp_pos0-4_gain.wav,9,1.0,4,0.40498048721954183,-7.851318029387152,,0.5727288975223399,0.35355339059327373
22,ff802_ch10_100mVpp_pos0-4_gain.wav,10,0.1,0,0.0027017513925020986,-51.36709232043106,,0.0038208534614368626,0.035355339059327376
23,ff802_ch10_100mVpp_pos0-4_gain.wav,10,0.1,1,0.00317866769323018,-49.955097441326586,,0.004495314962043321,0.035355339059327376
24,ff802_ch10_100mVpp_pos0-4_gain.wav,10,0.1,2,0.005655593344435409,-44.95043650549945,,0.007998216810967565,0.035355339059327376
25,ff802_ch10_100mVpp_pos0-4_gain.wav,10,0.1,3,0.016248522127781224,-35.78372267639426,,0.022978880361627547,0.035355339059327376
26,ff802_ch10_100mVpp_pos0-4_gain.wav,10,0.1,4,0.038655489987226496,-28.25577634702752,,0.054667118200113086,0.035355339059327376
27,ff802_ch10_100mVpp_pos4-8_gain.wav,10,0.1,4,0.03869257713176898,-28.247446859784407,,0.05471956734291476,0.035355339059327376
28,ff802_ch10_100mVpp_pos4-8_gain.wav,10,0.1,5,0.0692252463305394,-23.194709803795494,,0.09789928221926715,0.035355339059327376
29,ff802_ch10_100mVpp_pos4-8_gain.wav,10,0.1,6,0.10611488956189538,-19.48447347166667,,0.15006911598815562,0.035355339059327376
30,ff802_ch10_100mVpp_pos4-8_gain.wav,10,0.1,7,0.2618701119882736,-11.638281321245179,,0.37034026395397773,0.035355339059327376
31,ff802_ch10_200mVpp_pos0-4_gain.wav,10,0.2,0,0.005377716306785919,-45.388042241016535,,0.007605239335651598,0.07071067811865475
32,ff802_ch10_200mVpp_pos0-4_gain.wav,10,0.2,1,0.006143379653149021,-44.23185289994823,,0.008688050824290265,0.07071067811865475
33,ff802_ch10_200mVpp_pos0-4_gain.wav,10,0.2,2,0.01154740850764883,-38.75030940133935,,0.016330501721779436,0.07071067811865475
34,ff802_ch10_200mVpp_pos0-4_gain.wav,10,0.2,3,0.03288019559607411,-29.661312152297285,,0.04649961854544811,0.07071067811865475
35,ff802_ch10_200mVpp_pos0-4_gain.wav,10,0.2,4,0.07853996531581192,-22.098185897103917,,0.1110722841379337,0.07071067811865475
36,ff802_ch10_200mVpp_pos4-8_gain.wav,10,0.2,4,0.0783687935957426,-22.117136773648735,,0.11083021076991693,0.07071067811865475
37,ff802_ch10_200mVpp_pos4-8_gain.wav,10,0.2,5,0.13895725946924906,-17.14237519362548,,0.1965152409316092,0.07071067811865475
38,ff802_ch10_200mVpp_pos4-8_gain.wav,10,0.2,6,0.2191532106021686,-13.185043250682597,,0.309929442671194,0.07071067811865475
39,ff802_ch10_200mVpp_pos4-8_gain.wav,10,0.2,7,0.5945556721308697,-4.516149466247407,,0.840828695113327,0.07071067811865475
40,ff802_ch10_500mVpp_pos0-4_gain.wav,10,0.5,0,0.01358737187376759,-37.33729076395008,,0.01921544558088886,0.17677669529663687
41,ff802_ch10_500mVpp_pos0-4_gain.wav,10,0.5,1,0.01575141485056356,-36.05360860358917,,0.022275864508231963,0.17677669529663687
42,ff802_ch10_500mVpp_pos0-4_gain.wav,10,0.5,2,0.026180979993287057,-31.6402820237639,,0.03702549698272522,0.17677669529663687
43,ff802_ch10_500mVpp_pos0-4_gain.wav,10,0.5,3,0.08301802414852794,-21.616552143217156,,0.11740521567226532,0.17677669529663687
44,ff802_ch10_500mVpp_pos0-4_gain.wav,10,0.5,4,0.2030050364462992,-13.84986374678963,,0.28709247577240077,0.17677669529663687
45,ff802_ch10_500mVpp_pos4-8_gain.wav,10,0.5,4,0.20223756577477958,-13.882763414724673,,0.28600710834001414,0.17677669529663687
